stop_id;stop_code;stop_name;stop_desc;stop_lat;stop_lon;zone_id;stop_url;location_type;parent_station;stop_timezone;wheelchair_boarding
1508057;;Circunvalación / 16 1/2 Ote;;-3541727018;-7163721621;;;0;;;0
1508061;;Circunvalación / 15 1/2 Ote;;-3541614226;-7163836957;;;0;;;0
2644929;;Colin /O´Higgnis;;-3544951412;-7169028371;;;0;;;0
2644930;;Colin / Colin;;-3545214893;-7169008576;;;0;;;0
2644931;;Colin / Río Claro;;-3545205966;-7169039984;;;0;;;0
2644932;;Colin / O´Higgnis;;-3544919298;-716905246;;;0;;;0
2644933;;Colin / Veintiocho Sur;;-3544753496;-7168959078;;;0;;;0
2644934;;Terminal Taxual s.a;;-3545924115;-7169419169;;;0;;;0
2644935;;Dos Sur / Tres Poniente;;-3542797338;-7166908454;;;0;;;0
2644936;;Dos Sur;;-3542819941;-7166758536;;;0;;;0
2644937;;Dos Sur / 1 Oriente;;-3542835602;-7166565564;;;0;;;0
2644938;;Dos Sur / Dos Ote;;-3542830782;-7166480602;;;0;;;0
2644939;;Dos Sur / Dos Ote;;-3542845103;-716644973;;;0;;;0
2644941;;1 Oriente / 1 Sur;;-354267706;-7166540567;;;0;;;0
2644943;;Dos Sur / Tres Oriente;;-354284927;-7166235222;;;0;;;0
2644944;;Dos Sur / Cuatro Oriente;;-3542865891;-7166173998;;;0;;;0
2645009;;Dos Sur / 5 Oriente;;-354287231;-7165957882;;;0;;;0
2645028;;Dos Sur / 6 Oriente;;-3542893507;-7165877887;;;0;;;0
2645029;;Dos Sur / Ocho Oriente;;-3542931845;-7165631824;;;0;;;0
2645030;;Dos Sur / Siete Oriente;;-3542876427;-716567033;;;0;;;0
2645107;;Avenida Isidoro del Solar / Cuatro norte;;-3542157754;-7167025246;;;0;;;0
2645108;;Dos Sur / Nueve Oriente;;-3542917214;-7165405117;;;0;;;0
2645109;;Dos Sur / 10 Oriente;;-3542943881;-7165251745;;;0;;;0
2645110;;Once Oriente / Estación de Tren Talca;;-3542953833;-7165031309;;;0;;;0
2645111;;Estación Talca;;-3542960194;-7164938271;;;0;;;0
2645112;;Once Oriente / Uno Sur;;-3542887168;-7165029335;;;0;;;0
2645113;;Once Oriente / Dos Sur;;-3542910294;-7165044574;;;0;;;0
2645114;;Once Oriente / Uno Sur;;-3542774073;-7165031186;;;0;;;0
2645117;;Dos Norte / Doce Ote;;-3542631181;-7164820831;;;0;;;0
2645118;;Uno Sur / Catorce Ote;;-3542880414;-7164474704;;;0;;;0
2645119;;Catorce Oriente / Uno Sur;;-3542852334;-7164509863;;;0;;;0
2645120;;Avenida San Miguel / INACAP;;-3543142795;-7163853987;;;0;;;0
2645176;;Diez Oriente / Seis Norte;;-3541998019;-7165089598;;;0;;;0
2711738;;Cuatro Norte / 5 Ote;;-3542277078;-7165848197;;;0;;;0
2711739;;Cuatro Norte / 7 Oriente;;-3542225626;-7165624443;;;0;;;0
2711740;;Cuatro Norte / Tres Oriente;;-354218192;-7166234346;;;0;;;0
2711741;;Cuatro Norte / Dos Poniente;;-3542141801;-7166794927;;;0;;;0
2711742;;Cuatro Norte / Diecinueve 1/2 Sur C;;-354212538;-7167001297;;;0;;;0
2711744;;Cuatro Norte / Cárcel de Talca;;-3542213333;-7166791052;;;0;;;0
2711745;;Calle 1 Poniente / Cuatro Norte;;-3542250224;-7166630119;;;0;;;0
2711746;;Cuatro Norte / Uno Ote;;-3542229704;-7166524514;;;0;;;0
2711747;;Cuatro Norte / Cuatro Ote;;-3542258557;-7166119849;;;0;;;0
2727697;;Diez Oriente / Siete Norte;;-3541916123;-7165057832;;;0;;;0
2727702;;Diez Nte / Los Robles;;-3541490082;-7165055228;;;0;;;0
2727703;;Dieciocho Oriente / Cuatro 1/2 Sur;;-3543336988;-7164151516;;;0;;;0
2727773;;6 Oriente / Seis Sur;;-3543390717;-7165897268;;;0;;;0
2727774;;Seis Sur / Dos Ote;;-35432936;-7166488555;;;0;;;0
2727942;;San Miguel / Treinte Ote;;-3543469173;-7162904444;;;0;;;0
2727944;;San Miguel / Treinta y cuatro Ote;;-3543668655;-7162272147;;;0;;;0
2727945;;San Miguel / Treinta y cuatro Ote;;-354364481;-7162258857;;;0;;;0
2727955;;San Miguel / Camino a San Miguel;;-354386117;-7161573888;;;0;;;0
2727960;;Once Oriente / Tres sur;;-3543028341;-7165060378;;;0;;;0
2727963;;Once Oriente / Ocho Sur;;-3543660869;-7165128613;;;0;;;0
2727991;;Once Oriente / Ocho 1/2 Sur;;-3543704676;-7165122121;;;0;;;0
2727993;;Once Oriente / Nueve Sur;;-3543765355;-7165126354;;;0;;;0
2728052;;6 Oriente / Doce Sur;;-3543924619;-7166105427;;;0;;;0
2728055;;6 Oriente / Ocho 1/2 Sur;;-3543654093;-7165935601;;;0;;;0
2728062;;Carlos Schorr / Balmaceda;;-3542937176;-7167443616;;;0;;;0
2746861;;Avenida Lircay / Diecinueve Norte;;-3540624887;-7164464187;;;0;;;0
2746862;;Av. Lircay / Veintiuno y Medio Norte;;-3540402042;-7163985774;;;0;;;0
2746863;;Av. Lircay / Universidad de Talca;;-3540413489;-7163955477;;;0;;;0
2746864;;Ruta 118 / Estadio Universidad de Talca;;-3540171501;-7163503573;;;0;;;0
2746865;;Ruta 118 / Estadio Universidad de Talca;;-3540185925;-7163490989;;;0;;;0
2746866;;Panamericana Sur / Acceso a Talca;;-3539930696;-7162048758;;;0;;;0
2746867;;Terminal de Buses Linea 5;;-3539861158;-7161988914;;;0;;;0
2746963;;Veinte Poniente / Psje Veinte Pte;;-3544238969;-716977252;;;0;;;0
2746964;;Treinta Sur / Psje Veintiuno Pte;;-3544506315;-7170126468;;;0;;;0
2746965;;Calle 21 Poniente / 25 Sur;;-3544096696;-7169719294;;;0;;;0
2746968;;Cinco Poniente / Veinticuatro 1/2 Sur;;-3544550368;-7168022935;;;0;;;0
2747000;;Calle 25 Sur / 1 Pte;;-3544951849;-7167300225;;;0;;;0
2747005;;Pasaje Veinticinco Sur B / 1 Ote;;-3544585415;-7166897893;;;0;;;0
2747009;;Nueve Oriente / Dieciséis Sur;;-3544711293;-716593444;;;0;;;0
2747010;;Dieciséis Sur / Diez Ote;;-3544817827;-716565259;;;0;;;0
2747013;;Diez Ote / Cabo Orlando Espinoza;;-3544362751;-7165336848;;;0;;;0
2747014;;Diez Oriente / Psje 13;;-3544215261;-7165287805;;;0;;;0
2747015;;Catorce Oriente / Vicente Huidobro;;-3544281026;-7164770096;;;0;;;0
2747018;;Catorce Oriente / Trece Medio Sur;;-35446287;-7164869428;;;0;;;0
2747019;;Catorce Sur / Catorce Ote;;-3544760004;-7164950072;;;0;;;0
2747024;;Catorce Oriente / Diez Sur;;-3543797579;-7164619256;;;0;;;0
2747025;;Dieciocho Ote / Calle 1 Sur;;-3542911338;-7164039999;;;0;;;0
2747027;;Catorce Oriente / Calle 1 Nte;;-3542690263;-7164495302;;;0;;;0
2747029;;Calle 1 Norte / Catorce Ote;;-3542776569;-7164556369;;;0;;;0
2747030;;Catorce Oriente / Uno Sur;;-354292716;-71645207;;;0;;;0
2747032;;Catorce Oriente / Dos Sur;;-3543014868;-716452947;;;0;;;0
2747038;;Catorce Oriente / Tres Sur;;-3543120557;-7164540077;;;0;;;0
2747043;;Once Oriente / Dos Nte;;-3542648241;-7164998712;;;0;;;0
2747044;;Dos Nte / Once Ote;;-3542598148;-7164969237;;;0;;;0
2747046;;Once Oriente / Tres Nte;;-3542477211;-716499469;;;0;;;0
2747047;;Once Oriente / PF;;-3542512056;-7164983527;;;0;;;0
2747056;;"Cuatro Norte, 1513-1579";;-3542253141;-7165232897;;;0;;;0
2747072;;Calle 1 Poniente / Dos Nte;;-3542471261;-7166651126;;;0;;;0
2747073;;Avenida Isidoro del Solar / Dos Nte;;-3542466838;-7166774093;;;0;;;0
2747075;;Avenida Isidoro del Solar / Calle 1 Nte;;-354257598;-7166693189;;;0;;;0
2747079;;Cuatro Norte / Ocho Ote;;-3542298048;-7165560323;;;0;;;0
2747080;;Cuatro Norte / 1 Ote;;-3542164939;-716646435;;;0;;;0
2747081;;Cuatro Norte / Isidora del Solar;;-3542190261;-7167068113;;;0;;;0
2747085;;Once Oriente / Cinco Nte;;-3542162013;-7164954174;;;0;;;0
2747086;;Once Oriente / Siete Nte;;-3541930741;-7164923237;;;0;;;0
2747087;;Diez Norte / Lircay;;-3541391207;-7165301514;;;0;;;0
2747088;;Trece 1/2 Oriente / Trece 1/2 Ote;;-3541549223;-7164438152;;;0;;;0
2747096;;Trece 1/2 Oriente / Once 1/2 Nte;;-3541431171;-7164272528;;;0;;;0
2747099;;Doce Norte / 17 Norte;;-3541162603;-716442305;;;0;;;0
2747116;;Avenida Isidoro del Solar / Dos Norte;;-3542428167;-7166833693;;;0;;;0
2840634;;Ocho Sur / 32 Ote;;-3544277722;-7162875;;;0;;;0
2957053;;Dieciocho Oriente / Cinco Sur;;-3543438821;-7164216098;;;0;;;0
2957680;;Ocho Sur / Dieciocho Ote;;-354369185;-7164443759;;;0;;;0
2957681;;Cuatro Sur / Quince Ote;;-3543285422;-7164420022;;;0;;;0
2957682;;Cuatro Sur / Catorce Ote;;-3543278076;-7164542161;;;0;;;0
2957685;;Terminal;;-3544802854;-7165136859;;;0;;;0
2957741;;Dos Norte /Cuatro Pte;;-3542425031;-716704261;;;0;;;0
2957759;;Ocho Oriente / Siete Nte;;-3541999677;-7165505766;;;0;;;0
2957769;;Lircay / Pasaje desolación;;-3541514616;-7165508696;;;0;;;0
2957791;;Diez Norte / Los Robles;;-3541498571;-7165058153;;;0;;;0
2957823;;Lircay / Doce Norte;;-3541302761;-7165272678;;;0;;;0
2957824;;Doce Norte / Siete Ote;;-3541229085;-7165565254;;;0;;;0
2957825;;Doce Norte / 6 Ote;;-3541188048;-7165642072;;;0;;;0
2957826;;V Cinco 1/2 Ote;;-3541197029;-7165684987;;;0;;;0
2957827;;Cinco Ote / Ocho Norte;;-3541689622;-7165900486;;;0;;;0
2957828;;Cinco Oriente / Cuatro Nte;;-3542190056;-716594087;;;0;;;0
2957829;;Calle 1 Norte / Doce Ote;;-354275561;-7164803441;;;0;;;0
2958320;;Doce Oriente / Dos Sur;;-3542999555;-7164819121;;;0;;;0
2958321;;Doce Ote / Tres Sur;;-3543059838;-7164824111;;;0;;;0
2958329;;Ocho Sur / Diecinueve Ote;;-3543744284;-7164175151;;;0;;;0
2958331;;Ocho Sur / Diecinueve Ote;;-3543762255;-7164182826;;;0;;;0
2958333;;Ocho Sur / Dieciocho Ote;;-3543688601;-7164369106;;;0;;;0
2958334;;Catorce Oriente / Diez Sur;;-3543842448;-7164640814;;;0;;;0
2958335;;Catorce Oriente / Doce Sur;;-35441757;-7164746493;;;0;;;0
2958337;;Catorce Oriente / Trece Sur;;-3544434642;-7164827496;;;0;;;0
2958339;;Terminal / 22 Norte / 13 1/2 Ote;;-3540978321;-7163520455;;;0;;;0
2958343;;Diez 1/2 Norte / Doce Ote;;-3541553239;-7164676219;;;0;;;0
2958346;;Seis Pte / Tres Nte;;-3542295762;-7167324901;;;0;;;0
2958348;;Lircay / Pasaje desolación;;-3541523073;-7165492684;;;0;;;0
2958365;;13 1/2 oriente / 20 Norte;;-3541131782;-7163738519;;;0;;;0
2958397;;Terminal San Miguel / Ocho Sur;;-354458782;-7162223876;;;0;;;0
2958399;;Treinta y dos Ote / Diez Sur;;-3544545566;-7163088024;;;0;;;0
2958400;;32 Oriente / Diez 1/2 Sur;;-3544602867;-7163125121;;;0;;;0
2958401;;Treinta y dos Ote / Diez Sur;;-3544490363;-7163053482;;;0;;;0
2958405;;31 Oriente / 9 1/2 sur;;-3544370912;-7163227294;;;0;;;0
2958407;;Ocho Sur / Treinta Oriente;;-3544055731;-7163320095;;;0;;;0
2958408;;Ocho Sur / Treinta Oriente;;-354407496;-7163328946;;;0;;;0
2958412;;Ocho Sur/  Veintiuno y Medio Ote;;-3543838955;-7163830087;;;0;;;0
2958416;;Dos Norte / 18 Ote;;-3542749598;-7164029651;;;0;;;0
2958420;;2 Norte / Catorce 1/2 Ote;;-354258543;-7164430103;;;0;;;0
2958524;;Lircay / Doce Nte;;-3541337333;-7165282296;;;0;;;0
2958525;;Lircay / Trece Norte;;-3541063582;-716499902;;;0;;;0
2958526;;Lircay / Bencinera HN;;-3540840813;-7164756343;;;0;;;0
2958527;;Avenida Lircay / Teletón;;-3540559857;-7164290826;;;0;;;0
2958528;;Avenida Lircay / teletón;;-3540524314;-716425124;;;0;;;0
2958531;;Lircay / Trece Norte;;-3541096805;-7165017396;;;0;;;0
2958532;;Lircay / Bencinera HN;;-3540870328;-7164766341;;;0;;;0
2958569;;1 Oriente / Dos Nte;;-3542452162;-7166516501;;;0;;;0
2958572;;Calle 1 Norte / 18 ote;;-3542819576;-7164055872;;;0;;;0
2958583;;31 Oriente / 10 Sur;;-3544565749;-7163363814;;;0;;;0
2958606;;Terminal Villa Francia;;-3545569087;-716590628;;;0;;;0
2958607;;10 Oriente / 24 Sur;;-3545552785;-7165860733;;;0;;;0
2958608;;24 Sur / 9 1/2 Oriente C;;-3545379167;-7165963885;;;0;;;0
2958609;;24 Sur / Av. 9 Ote;;-3545332693;-7166079448;;;0;;;0
2958610;;Dieciséis Sur / 9 Ote;;-3544698636;-7165898387;;;0;;;0
2958611;;Nueve Oriente / Quince Sur;;-3544563678;-7165841764;;;0;;;0
2958634;;Catorce Sur / Pasaje Paula Jaraquemada;;-3544232109;-7165701923;;;0;;;0
2958662;;El Arrollo / Cinco 1/2 Oriente;;-3544157982;-7166152592;;;0;;;0
2958663;;Cinco Oriente / Trece Sur;;-3544060195;-7166274923;;;0;;;0
2958668;;Once 1/2 Sur / Psje Sto Domingo;;-3543981763;-7165596137;;;0;;;0
2958670;;Nueve Oriente / Once Sur;;-3543916307;-716546701;;;0;;;0
2958671;;Nueve Oriente / Nueve 1/2 Sur;;-3543792655;-7165454521;;;0;;;0
2958672;;Nueve Oriente / Nueve Sur;;-3543732672;-7165447587;;;0;;;0
2958673;;Once Oriente / Siete Sur;;-3543509658;-7165097161;;;0;;;0
2958674;;Once Oriente / Cinco Sur;;-3543328154;-7165077567;;;0;;;0
2958675;;6 Oriente / Ocho nte;;-3541731904;-7165758298;;;0;;;0
2958676;;Cuatro Oriente / 12 Nte;;-3541143935;-7165961322;;;0;;;0
2958677;;Cuatro Oriente / 12 Nte;;-3541079697;-7165966633;;;0;;;0
2958678;;4 Oriente / Pje 12 1/2 Nte;;-3540872173;-7165928507;;;0;;;0
2958681;;Cinco Oriente / 19 Nte;;-3540295121;-7165300512;;;0;;;0
2958682;;Diecinueve Norte C / Cinco Ote;;-3540212963;-7165229989;;;0;;;0
2958684;;Cinco Oriente / 18 nte;;-3540090589;-7165240585;;;0;;;0
2958685;;Cinco Oriente / Circunvaliación nte;;-3540021653;-7165225658;;;0;;;0
2958686;;5 Ote / 18 Nte;;-3539845138;-7165191599;;;0;;;0
2958687;;Terminal / Av Lircay;;-3539050626;-7164221048;;;0;;;0
2959086;;Cinco Ote / Domingo Sta. María;;-3540775012;-7165535868;;;0;;;0
2959095;;Carretera acceso Norte / 2 1/2 Oriente D;;-3539710077;-7164988428;;;0;;;0
2959098;;Pasaje 25 1/2 Norte /6 1/2 Oriente D;;-3539266841;-7164362323;;;0;;;0
2959125;;6 1/2 Oriente D / Psje 28 Norte;;-3539122507;-7164282892;;;0;;;0
2959170;;21 Norte / Cruce Av. Lircay - Av Circunvalación;;-3539477067;-7165077308;;;0;;;0
2959171;;Cruce Av. Lircay - Av Circunvalación / Caletera Acceso norte;;-3539637303;-7165142405;;;0;;;0
2959173;;Cinco Oriente / Aníbal Pinto;;-3540775888;-7165552765;;;0;;;0
2959181;;Tres Oriente / Doce Nte;;-3541102461;-7166107146;;;0;;;0
2959183;;Tres Oriente / Diez Nte;;-3541417387;-7166141494;;;0;;;0
2959185;;Tres Oriente / 4 Norte;;-3542171795;-7166212453;;;0;;;0
2959190;;Nueve Oriente / Nueve Sur;;-354369625;-7165453523;;;0;;;0
2959194;;6 Oriente / Doce Sur;;-3543922429;-7166117102;;;0;;;0
2959207;;Nueve Oriente / Quince Sur;;-3544559413;-7165854245;;;0;;;0
2970680;;Nueve Oriente / Dieciocho Sur;;-3544886954;-7166060507;;;0;;;0
2972807;;29 Sur / Av 9 ote;;-354593482;-7166483492;;;0;;;0
2972808;;10 1/2 Ote / 29 Sur;;-3546106757;-7165975214;;;0;;;0
2972828;;28 Sur / Av. 9 1/2 Ote;;-3545896369;-7166175038;;;0;;;0
2972829;;28 Sur / Av.9 Ote;;-3545822961;-7166359037;;;0;;;0
2972843;;Avenida 9 Oriente / 23 Sur;;-3545182581;-7166015982;;;0;;;0
2972848;;Dieciséis Sur / Diez Ote;;-3544834976;-7165591413;;;0;;;0
2972870;;Catorce Sur / Mayor Mario Muñoz;;-3544622515;-7165272368;;;0;;;0
2972885;;Carlos Schorr / Balmaceda;;-3542923695;-7167367011;;;0;;;0
2972886;;Colin / Los Maitenes;;-3543311928;-7167881362;;;0;;;0
2972887;;Colin / Caracas;;-3543154268;-716777122;;;0;;;0
2972889;;Circunvalación Poniente / Los Maitenes;;-3543448468;-7167936717;;;0;;;0
2972890;;Colin / 14 Sur;;-3543491329;-7168011972;;;0;;;0
2972898;;Colin / Los Boldos;;-3543539423;-7168016384;;;0;;;0
2972919;;Colin / 20 Sur;;-3543969927;-716833406;;;0;;;0
2972920;;Colin / 19 Sur;;-3543768366;-716816175;;;0;;;0
2972933;;Veinticuatro 1/2 Sur B / Cinco 1/2 Pte;;-3544462628;-7168130113;;;0;;;0
2976538;;Avenida Duao / Av 5 Pte;;-3545426481;-716825862;;;0;;;0
2976550;;Provincia de  Cauquenes  /Provincia de Talca;;-3545647146;-7167828414;;;0;;;0
2976551;;San Javier / Provincia de Cauquenes;;-3545934072;-7167941715;;;0;;;0
2976560;;San Javier / Provincia de Linares;;-3545868301;-7168111882;;;0;;;0
2976563;;San Javier / Av. 5 Pte;;-3545783919;-7168322575;;;0;;;0
2976565;;San Javier  / Provincia de Curico;;-3545723174;-7168478288;;;0;;;0
2976566;;Unihue / Provincia de Talca;;-3545527747;-71684385;;;0;;;0
2976572;;Colin / 20 Sur;;-3544092084;-7168383832;;;0;;;0
2976576;;Circunvalación Poniente / Los Caquis;;-3543778199;-7168144851;;;0;;;0
2976581;;Circunvalación Poniente / Aida;;-3543165151;-7167744065;;;0;;;0
2976582;;Carlos Schorr / Colbún;;-3542863592;-7167113007;;;0;;;0
2976602;;Terminal / Arturo Prat;;-3544992927;-7168099523;;;0;;;0
2976678;;Cuatro Poniente / Tres Pte;;-3544548719;-716766959;;;0;;;0
2976784;;Ignacio Carrera Pinto / Uno 1/2 Pte;;-3544417071;-7167102312;;;0;;;0
2976785;;Ignacio Carrera Pinto / Adolfo Becker;;-3544480407;-7167016301;;;0;;;0
2976791;;1 Oriente / Diez Sur;;-3543889934;-7166649047;;;0;;;0
2976792;;1 Oriente / 16 Sur;;-3544342211;-7166699409;;;0;;;0
2976793;;1 Oriente / 12 Sur;;-3544083701;-7166667491;;;0;;;0
2976794;;1 Oriente / 9 Sur;;-3543800786;-716664183;;;0;;;0
2976807;;Calle 1 Poniente / Dos Sur;;-3542852883;-716668144;;;0;;;0
2976833;;Manuel Rodríguez / Doce Nte;;-3541002778;-7166286049;;;0;;;0
2976834;;Manuel Rodríguez / Pje Igualdad;;-3540861554;-7166223547;;;0;;;0
2976848;;Pasaje Libertad / Catorce Norte;;-3540582708;-7165926895;;;0;;;0
2976849;;Terminal  / Catorce Norte;;-3540521199;-7166010618;;;0;;;0
2976904;;Pasaje Gabriela Mistral / Pasaje Concordia;;-3540713184;-7166124987;;;0;;;0
2976908;;1 Oriente / 4 Sur;;-3543031223;-7166572273;;;0;;;0
2976909;;1 Oriente / 6 Sur;;-3543250866;-7166594266;;;0;;;0
2977779;;Cinco Poniente / 22 sur O;;-3544324729;-71678828;;;0;;;0
2977782;;Veintiséis Sur / 4 Pte;;-3544864448;-7167857051;;;0;;;0
2977790;;Terminal / Calle 21 Pte;;-3544269881;-7169921279;;;0;;;0
2977791;;Veintisiete Sur / 17 Pte;;-3544305139;-716948533;;;0;;;0
2977792;;Veintisiete Sur / 14 Pte;;-3544436675;-716920797;;;0;;;0
2977793;;Colin / 27 Sur;;-3544527744;-7168735145;;;0;;;0
2977794;;Colin / 25 Sur;;-3544322402;-7168579153;;;0;;;0
2977796;;Cancha Rayada / 6 Nte;;-3541994158;-7165184068;;;0;;;0
2977805;;Acceso Norte Talca / Cruce Ruta 5;;-3539946922;-7162813209;;;0;;;0
2977806;;Ruta 118 / Ruta 5;;-3539874276;-7162624329;;;0;;;0
2977808;;Cancha Rayada / Siete Ote;;-3541856203;-7165295004;;;0;;;0
2977810;;Colin / Camino La Florida;;-3544027418;-7168376533;;;0;;;0
2977811;;Colin / 23 Sur;;-3544186795;-7168507049;;;0;;;0
2977816;;Colin / 26 Sur;;-3544338933;-7168629795;;;0;;;0
2977818;;Colin / 27 Sur;;-3544527729;-7168771148;;;0;;;0
2977831;;Acceso Norte Talca / Cruce Ruta 5;;-3539961949;-7162679851;;;0;;;0
2977834;;Autopista Talca - Chillán /Kim 248;;-3539270983;-7161322706;;;0;;;0
2977835;;Panamericana Sur km 246;;-3538403482;-7160513092;;;0;;;0
2977837;;Panamericana Sur km 245;;-3537630459;-7159862092;;;0;;;0
2977838;;Panamericana Sur km 245;;-3537656547;-715981096;;;0;;;0
2977839;;Caletera Ruta 5 / Cruce ruta 5 (Panguilemo);;-353720886;-7159290612;;;0;;;0
2977840;;Cruce Panguilemo;;-3536515739;-7159437329;;;0;;;0
2977841;;Terminal / Panguilemo;;-353622373;-7158852338;;;0;;;0
2978043;;Panamericana Sur / Salida Talca Chillán;;-3536902004;-7159076303;;;0;;;0
2978749;;Panamericana Sur km 246;;-3538376468;-7160550714;;;0;;;0
2978751;;Panamericana / Santa Corina A;;-3539208016;-7161325765;;;0;;;0
2978753;;Camino a San Miguel / Diez Sur A;;-3544799553;-7162414581;;;0;;;0
2978760;;Dieciseis Sur / Tres 1/2 Pte;;-3544433279;-7166500695;;;0;;;0
2978761;;Dieciséis Sur / 6 Ote;;-3544513752;-7166344169;;;0;;;0
3274329;;6 Oriente / Dieciocho sur;;-3544770542;-7166432956;;;0;;;0
3274412;;Tres Pte / Calle 25 Sur;;-3544794368;-7167553009;;;0;;;0
3333622;;Ocho Sur / Las Rosas;;-3543926666;-7163618204;;;0;;;0
3333702;;Veintiocho 1/2 Sur/ Calle 24 Pte;;-3544276874;-7170247703;;;0;;;0
3333716;;Treinta Sur / Calle 24 Pte;;-3544429836;-7170267016;;;0;;;0
3333835;;19 1/2 Poniente / Psje 29 1/2 Sur A;;-3544578181;-7169877317;;;0;;;0
3333836;;29 Sur / Pje 18 1/2 Pte;;-3544513194;-7169744874;;;0;;;0
3333838;;Veintinueve Sur / 14 pte;;-3544668748;-7169333813;;;0;;;0
3333841;;Catorce Oriente / Psje Cinco 1/2 Nte B;;-3542269004;-7164555496;;;0;;;0
3333843;;Catorce Oriente / Psje Seis Nte;;-3542122887;-7164496131;;;0;;;0
3333844;;Catorce Oriente / Doce Nte;;-3541696898;-7164214153;;;0;;;0
3333847;;Catorce Oriente / Catorce Nte;;-3541609513;-7164112381;;;0;;;0
3333883;;Av. 21 Nte / Av. 22 Ote;;-3541055489;-7162628621;;;0;;;0
3333884;;Av. 21 Nte / 25 Ote;;-3541205888;-716220215;;;0;;;0
3333885;;26 Ote / Terminal;;-3541170912;-7162028342;;;0;;;0
3333887;;22 Nte / 23 Ote;;-3540959302;-7162323117;;;0;;;0
3333890;;Av. 21 Nte / Av. 22 Ote;;-3541036908;-7162589997;;;0;;;0
3333891;;Circunvalación / 17 Ote;;-3541755871;-7163668513;;;0;;;0
3333908;;Veintinueve Sur / 18 Pte;;-3544541932;-7169645548;;;0;;;0
3333923;;Veintiocho 1/2 Sur / Veintiuno 1/2 Pte A;;-3544352044;-7170035004;;;0;;;0
3333938;;Terminal Taxual A / Cruce Ruta 5;;-3542255108;-7159951776;;;0;;;0
3333939;;Cruce Ruta 5 / K-55;;-3542335598;-7159968773;;;0;;;0
3333942;;Cruce Ruta 115 / Cruce K-15;;-3542408457;-7160264312;;;0;;;0
3333948;;Cruce K 15 / Pta de Diamante;;-3542489063;-716035956;;;0;;;0
3333960;;K-55 / 5 Nte;;-3543281797;-7160833361;;;0;;;0
3333963;;Camino Las Rastras / Cinco Nte;;-35433515;-7160867539;;;0;;;0
3339094;;Camino Las Rastras / Cuarenta Ote;;-3543766025;-716118352;;;0;;;0
3339112;;Uno Sur / Av. San Miguel;;-35438865;-7161275816;;;0;;;0
3339113;;Uno Sur / Av. San Miguel;;-3543909054;-7161313433;;;0;;;0
3339127;;San Miguel / Treinte Ote;;-3543472524;-7162802604;;;0;;;0
3339205;;I - Avenida San Miguel / 21 Ote;;-3543224859;-7163650805;;;0;;;0
3339250;;Barcelona / El Arenal;;-3543417951;-7166797887;;;0;;;0
3339283;;Circunvalación Sur / J María Auxiliadora;;-3543838546;-7167037806;;;0;;;0
3339286;;Catorce Sur / Cuatro Pte;;-3543916889;-7167388164;;;0;;;0
3339376;;Catorce Sur / Los Almendros;;-354360884;-7167882962;;;0;;;0
3339380;;Cruce Ruta 5 / K -610;;-3545409634;-7169092839;;;0;;;0
3339381;;Cruce Ruta 5 / Colegio Santo Tomás;;-3545498001;-7169198245;;;0;;;0
3339382;;K-610 / Calle 5;;-3545536368;-7169567295;;;0;;;0
3339383;;K-610 / Calle 5;;-3545524384;-7169593358;;;0;;;0
